[##################################################] 114608388/114608388
__NO_VERB_FOUND: 106495799
aborting: 39
adding: 10
advancing: 1542
archiving: 8
assuming: 5
attempting: 49
blocking: 512
caching: 365423
calling: 631
cbsexecutestateresolvepending: 29
changing: 220
checking: 87
cleaning: 107
clearing: 503
completing: 11328
continuing: 8
creating: 2328
deleting: 36
destroying: 26569
disablewerreporting: 8
disabling: 911
during: 313
enabling: 158
ending: 1447
ensuring: 4
entering: 32
evaluating: 3216103
executing: 3878
existing: 3694
expecting: 162224
extracting: 393
failing: 322892
finishing: 2
generating: 8
going: 83
ignoring: 766
incrementing: 152
initializing: 462944
installing: 1171810
intending: 7
loading: 2580
locking: 4
marking: 255
microsoft-windows-scripting: 1
migrating: 282
missing: 9
neing: 308
nesting: 327
obtaining: 51
opening: 393
originating: 14
packageextending: 202780
passing: 1
pending: 353
performing: 25740
processing: 4253
providing: 3116
queuing: 62
relating: 335058
removing: 49
reporting: 741
requesting: 836
requiring: 35
resolving: 25472
restoring: 511
resulting: 351739
resuming: 1
retrying: 36
returning: 111
running: 33
saving: 503
servicing: 110
setting: 1709
shutting: 36
signaling: 209
skipping: 80980
staging: 1168948
starting: 1538
string: 1
submitting: 74
supersinging: 88900
suspending: 1
switching: 7
system.printing: 1
terminating: 33
trying: 386
turning: 5
uninstalling: 3638
unloading: 2576
unlocking: 4
unpinning: 35
unprojecting: 2613
unstaging: 21
using: 438
waiting: 606
working: 1287
